PercT,Backtitre
94.6,17
93.9,22.5
93.9,22.5
93.9,22.5
93.5,24
93.5,24
93.5,24
93.5,24
93.5,24
93.5,24
93.7,25.5
90.2,30
89.6,32.00
89.2,37.50
89.2,37.50
93.4,38.5
89.1,39.5
89.1,39.5
89.1,39.5
89.6,39.50
89.6,39.50
89.6,39.50
89.0,40.50
88.4,41.5
88.4,41.5
88.8,44.50
88.8,44.50
94.3,45
94.3,45
89.5,47.5
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
89.1,61.50
88.9,62.00
88.9,62.00
88.9,62.00
88.9,62.00
88.8,65.50
85.0,67
88.7,74.5
88.7,74.5
88.7,74.5
88.7,74.5
81.9,78
88.9,81.5
88.9,81.5
88.5,86
88.5,86
85.4,90.5
85.4,90.5
85.4,90.5
85.4,90.5
85.4,90.5
85.4,90.5
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.4,94.50
81.8,98.5
81.8,98.5
81.8,98.5
81.8,98.5
81.8,98.5
81.8,98.5
79.0,120.00
81.5,125
81.5,125
81.5,125
81.5,125
81.5,125
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
81.5,125.00
82.0,136
82.0,136
82.0,136
78.1,163.5
76.5,182.50
76.5,182.50
